;kingdom;supergroup;phylum;class;order;family;genus;species;Confidence
>ASV_7731;Eukaryota;Alveolata;Ciliophora;CONThreeP;CONThreeP_X;CONThreeP_XX;Askenasia;Askenasia_sp.;0.989656408
>ASV_7732;Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Choanoflagellatea_X;Choanoflagellatea_X_Group_L;Choanoflagellatea_X_Group_L_X;Choanoflagellatea_X_Group_L_X_sp.;0.989081755
>ASV_7733;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Mytiloida;Mytilus;;0.949508922
>ASV_7734;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;1
>ASV_7735;Eukaryota;Stramenopiles;Pseudofungi;Pirsonia_Clade;Pirsonia_Clade_X;Pirsonia_Clade_XX;Pirsonia;Pirsonia_guinardiae;0.894920477
>ASV_7736;Eukaryota;Alveolata;Perkinsea;Perkinsida;Perkinsida_X;Parvilucifera-group;Parvilucifera;Parvilucifera_infectans;0.996674737
>ASV_7737;Eukaryota;Rhizaria;Cercozoa;Cercozoa_X;Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Cercozoa_XXXX_sp.;0.920324626
>ASV_7738;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Leegaardiellidae_B;Leegaardiella;Leegaardiella_sp.;0.8660938
>ASV_7739;Eukaryota;Stramenopiles;;;;;;;0.876858617
>ASV_7740;Eukaryota;Stramenopiles;Pseudofungi;Oomycota;Oomycota_X;Peronosporales;;;0.919571497
>ASV_7741;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Chytriodiniaceae;Dissodinium;Dissodinium_pseudolunula;0.746181462
>ASV_7742;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.999999987
